x_pos,y_pos,x_vel,y_vel,angle,angular_vel,action,next_x_pos,next_y_pos,next_x_vel,next_y_vel,next_angle,next_angular_vel,reward,done
-0.26527008,0.35452232,0.27254587,-0.118745096,0.049476366,0.0012587301,2,-0.2624258,0.3525151,0.28361875,-0.0892377,0.05027787,0.016029935,-0.05275108807717571,False
-0.2624258,0.3525151,0.28361875,-0.0892377,0.05027787,0.016029935,0,-0.2595815,0.3499079,0.28361875,-0.11590441,0.051079374,0.016029997,-0.6073728340529101,False
-0.2595815,0.3499079,0.28361875,-0.11590441,0.051079374,0.016029997,2,-0.2569162,0.34752747,0.2664241,-0.10580108,0.05118497,0.0021119504,2.011836200620121,False
-0.2569162,0.34752747,0.2664241,-0.10580108,0.05118497,0.0021119504,1,-0.25432307,0.34454885,0.25737756,-0.1324485,0.053099446,0.038289536,-0.10727045080282835,False
-0.25432307,0.34454885,0.25737756,-0.1324485,0.053099446,0.038289536,2,-0.2519268,0.34163642,0.23849353,-0.12948352,0.054214135,0.022293795,1.7732950890465389,False
-0.2519268,0.34163642,0.23849353,-0.12948352,0.054214135,0.022293795,1,-0.24961767,0.338128,0.22758439,-0.15605147,0.05750821,0.06588147,-0.3970529039730184,False
-0.24961767,0.338128,0.22758439,-0.15605147,0.05750821,0.06588147,1,-0.24738088,0.33400863,0.21849751,-0.18329063,0.06263146,0.10246499,-1.0029949709282124,False
-0.24738088,0.33400863,0.21849751,-0.18329063,0.06263146,0.10246499,3,-0.24507889,0.32930046,0.22668791,-0.20940064,0.066104524,0.06946109,-2.202823357256078,False
-0.24507889,0.32930046,0.22668791,-0.20940064,0.066104524,0.06946109,2,-0.24276261,0.32514167,0.22781408,-0.18500946,0.06987761,0.075461686,1.3073626136700198,False
-0.24276261,0.32514167,0.22781408,-0.18500946,0.06987761,0.075461686,2,-0.24037352,0.32114482,0.2345943,-0.17784438,0.07415061,0.0854601,-0.35519824353262947,False
-0.24037352,0.32114482,0.2345943,-0.17784438,0.07415061,0.0854601,2,-0.23815851,0.31792903,0.21767528,-0.14311817,0.07793661,0.07572006,3.0991966224583196,False
-0.23815851,0.31792903,0.21767528,-0.14311817,0.07793661,0.07572006,3,-0.2358605,0.3141193,0.22809227,-0.16941327,0.07963194,0.033906493,-2.118380725541043,False
-0.2358605,0.3141193,0.22809227,-0.16941327,0.07963194,0.033906493,2,-0.23365955,0.3111931,0.21846142,-0.13013716,0.081243634,0.0322337,2.888926289165025,False
-0.23365955,0.3111931,0.21846142,-0.13013716,0.081243634,0.0322337,3,-0.23136792,0.30766755,0.22983153,-0.1566558,0.08058139,-0.013244865,-1.9300248518049006,False
-0.23136792,0.30766755,0.22983153,-0.1566558,0.08058139,-0.013244865,2,-0.22922654,0.30442894,0.21528716,-0.1438763,0.07944738,-0.022680191,2.1214308451253574,False
-0.22922654,0.30442894,0.21528716,-0.1438763,0.07944738,-0.022680191,2,-0.22702089,0.301957,0.22107093,-0.10983512,0.078943625,-0.010075181,1.2890834053619187,False
-0.22702089,0.301957,0.22107093,-0.10983512,0.078943625,-0.010075181,2,-0.22491832,0.3004097,0.21087082,-0.068738066,0.07833587,-0.012155203,2.5168292214377574,False
-0.22491832,0.3004097,0.21087082,-0.068738066,0.07833587,-0.012155203,0,-0.22281575,0.29826236,0.21087083,-0.09540476,0.077728115,-0.012155099,-0.6070850826632181,False
-0.22281575,0.29826236,0.21087083,-0.09540476,0.077728115,-0.012155099,3,-0.22062922,0.2955228,0.2214069,-0.1216176,0.07500349,-0.05449257,-1.5233249178895665,False
-0.22062922,0.2955228,0.2214069,-0.1216176,0.07500349,-0.05449257,2,-0.21866521,0.29317468,0.19995466,-0.104185894,0.071482204,-0.070425764,3.071822108896481,False
-0.21866521,0.29317468,0.19995466,-0.104185894,0.071482204,-0.070425764,1,-0.21676807,0.29021946,0.1915713,-0.13125536,0.06964635,-0.036717225,-0.17144668634206425,False
-0.21676807,0.29021946,0.1915713,-0.13125536,0.06964635,-0.036717225,2,-0.21503663,0.28814608,0.1754534,-0.09204576,0.067364655,-0.045633957,3.6069899604670796,False
-0.21503663,0.28814608,0.1754534,-0.09204576,0.067364655,-0.045633957,0,-0.21330515,0.28547275,0.17545345,-0.118712865,0.06508296,-0.045633964,-0.8249326413106886,False
-0.21330515,0.28547275,0.17545345,-0.118712865,0.06508296,-0.045633964,1,-0.21166138,0.28218135,0.16443574,-0.1462808,0.06502519,-0.0011554256,-0.4865675136959513,False
-0.21166138,0.28218135,0.16443574,-0.1462808,0.06502519,-0.0011554256,2,-0.21019396,0.27947918,0.14738153,-0.120070376,0.06439243,-0.012655215,3.0658592385409706,False
-0.21019396,0.27947918,0.14738153,-0.120070376,0.06439243,-0.012655215,3,-0.20865063,0.2761727,0.1568872,-0.14684683,0.06186276,-0.050593518,-1.8990142293795447,False
-0.20865063,0.2761727,0.1568872,-0.14684683,0.06186276,-0.050593518,2,-0.20709905,0.27356973,0.15742652,-0.11559358,0.059619915,-0.04485686,2.183714297985344,False
-0.20709905,0.27356973,0.15742652,-0.11559358,0.059619915,-0.04485686,2,-0.20545349,0.2709878,0.16626714,-0.11468486,0.057924613,-0.03390619,-0.49291751470072426,False
-0.20545349,0.2709878,0.16626714,-0.11468486,0.057924613,-0.03390619,0,-0.20380798,0.26780593,0.16626716,-0.14135177,0.056229305,-0.03390602,-1.1023686113472237,False
-0.20380798,0.26780593,0.16626716,-0.14135177,0.056229305,-0.03390602,2,-0.20219126,0.264646,0.16341227,-0.14037912,0.054508917,-0.034407713,0.5015702455867099,False
-0.20219126,0.264646,0.16341227,-0.14037912,0.054508917,-0.034407713,2,-0.20043692,0.2617278,0.17638627,-0.12966122,0.053564984,-0.01887874,-0.21587179618925062,False
-0.20043692,0.2617278,0.17638627,-0.12966122,0.053564984,-0.01887874,2,-0.19888096,0.25917178,0.15732187,-0.11354021,0.05186487,-0.03400243,2.6576845539050824,False
-0.19888096,0.25917178,0.15732187,-0.11354021,0.05186487,-0.03400243,2,-0.19753142,0.25752813,0.1373972,-0.07296983,0.049453817,-0.048220973,3.9979102364477273,False
-0.19753142,0.25752813,0.1373972,-0.07296983,0.049453817,-0.048220973,0,-0.19618186,0.25528452,0.13739724,-0.09963699,0.047042783,-0.04822097,-0.9137635281866281,False
-0.19618186,0.25528452,0.13739724,-0.09963699,0.047042783,-0.04822097,0,-0.19483224,0.25244102,0.13739729,-0.12630413,0.04463174,-0.048220932,-1.1420674248390554,False
-0.19483224,0.25244102,0.13739729,-0.12630413,0.04463174,-0.048220932,1,-0.19357042,0.24898095,0.12638548,-0.15377258,0.04443727,-0.0038893502,-0.9013415381220529,False
-0.19357042,0.24898095,0.12638548,-0.15377258,0.04443727,-0.0038893502,3,-0.19221,0.2449279,0.13874623,-0.18005991,0.041763525,-0.05347494,-2.1863661656286824,False
-0.19221,0.2449279,0.13874623,-0.18005991,0.041763525,-0.05347494,2,-0.1907485,0.24167663,0.14820491,-0.14444193,0.03973745,-0.040521644,2.285014490126298,False
-0.1907485,0.24167663,0.14820491,-0.14444193,0.03973745,-0.040521644,2,-0.18946609,0.23853451,0.13104078,-0.13958038,0.036971062,-0.055327766,1.852225450023053,False
-0.18946609,0.23853451,0.13104078,-0.13958038,0.036971062,-0.055327766,0,-0.18818359,0.23479243,0.13104083,-0.1662477,0.034204673,-0.055327725,-1.3739044282430655,False
-0.18818359,0.23479243,0.13104083,-0.1662477,0.034204673,-0.055327725,2,-0.18677835,0.23161405,0.14263533,-0.14121243,0.032128993,-0.04151376,1.3403797486695666,False
-0.18677835,0.23161405,0.14263533,-0.14121243,0.032128993,-0.04151376,0,-0.18537302,0.22783579,0.14263535,-0.16787948,0.030053312,-0.041513737,-1.3682148546245543,False
-0.18537302,0.22783579,0.14263535,-0.16787948,0.030053312,-0.041513737,2,-0.18393993,0.22398585,0.14523286,-0.17107184,0.02815493,-0.037967663,-0.13285326565502514,False
-0.18393993,0.22398585,0.14523286,-0.17107184,0.02815493,-0.037967663,0,-0.18250675,0.21953596,0.14523289,-0.19773884,0.02625654,-0.037967645,-1.4695168044852593,False
-0.18250675,0.21953596,0.14523289,-0.19773884,0.02625654,-0.037967645,2,-0.18117857,0.21537496,0.13516727,-0.18489309,0.023945961,-0.04621176,1.9665729930991673,False
-0.18117857,0.21537496,0.13516727,-0.18489309,0.023945961,-0.04621176,0,-0.1798503,0.21061407,0.13516729,-0.21156019,0.02163538,-0.046211742,-1.5220312586207143,False
-0.1798503,0.21061407,0.13516729,-0.21156019,0.02163538,-0.046211742,2,-0.17868614,0.2063141,0.1194497,-0.19106981,0.01863733,-0.05996092,2.9735838461091193,False
-0.17868614,0.2063141,0.1194497,-0.19106981,0.01863733,-0.05996092,2,-0.17769213,0.20258446,0.1031662,-0.16572098,0.014920667,-0.074333295,3.430705981709619,False
-0.17769213,0.20258446,0.1031662,-0.16572098,0.014920667,-0.074333295,2,-0.17684889,0.19972315,0.08872908,-0.12713239,0.010575231,-0.08690871,4.4225168449011365,False
-0.17684889,0.19972315,0.08872908,-0.12713239,0.010575231,-0.08690871,2,-0.17604151,0.19774039,0.08525695,-0.088096425,0.0061123245,-0.08925804,3.5919703869886748,False
-0.17604151,0.19774039,0.08525695,-0.088096425,0.0061123245,-0.08925804,2,-0.17513724,0.19651431,0.09446163,-0.05448263,0.0021228269,-0.07978998,1.6054812181972238,False
-0.17513724,0.19651431,0.09446163,-0.05448263,0.0021228269,-0.07978998,3,-0.17415647,0.19468167,0.10407212,-0.08145182,-0.0037910114,-0.118276715,-2.3057216565382945,False
-0.17415647,0.19468167,0.10407212,-0.08145182,-0.0037910114,-0.118276715,1,-0.1732461,0.1922463,0.09523186,-0.10825559,-0.0079347,-0.082873724,-1.404836382224089,False
-0.1732461,0.1922463,0.09523186,-0.10825559,-0.0079347,-0.082873724,1,-0.1723959,0.18920189,0.087690264,-0.13532206,-0.010569357,-0.052693255,-1.7176270487716454,False
